id,title_s,title_l,date,status,PI,co_PIs,institution,desc,pic,pic_cred,theme,systems,link,latitude,longitude,geometry,
1,Transdisciplinary Research in Water Sustainability,Transdisciplinary Research in Water Sustainability: What´è_s in it for an Engaged Researcher-Stakeholder Community?,2018,completed,"Ferguson, Laura","Chan, Samuel, Santelmann, Mary V., Tilt, Bryan",OSU,,,,environment,,https://ir.library.oregonstate.edu/concern/articles/1n79h950z?locale=en,44.882,-123.023,TRUE,
2,Drinking Water Access through a Transdisciplinary Lens,Drinking Water Access through a Transdisciplinary Lens,2020,completed,"Davis, Kari R.",,OSU,,,,"law, safety, health",,https://ir.library.oregonstate.edu/concern/graduate_thesis_or_dissertations/t148fp84t?locale=en,44.7928,-121.2815,TRUE,
3,(In)visible women: Representation and Conceptualization of Gender in Water Governance and Management,(In)visible women: Representation and Conceptualization of Gender in Water Governance and Management,2019,completed,"Best, Jaclyn P.",,OSU,,,,law,,https://ir.library.oregonstate.edu/concern/graduate_thesis_or_dissertations/n870zz023?locale=en,44.5704,-121.2788,TRUE,
4,"Low Impact Development in the Ash Creek Watershed, Oregon","Low Impact Development in the Ash Creek Watershed, Oregon : Feasibility Study and Implementation Tool Design",2018,completed,"Chalmers, Douglas R.",,OSU,,,,"health, environment",,https://ir.library.oregonstate.edu/concern/graduate_thesis_or_dissertations/44558k528?locale=en,44.8908,-123.2607,TRUE,
5,"A Hydrogeologic Framework for Understanding Watershed-Scale Surface Water and Groundwater Interactions in Western Oregon, USA","A Hydrogeologic Framework for Understanding Watershed-Scale Surface Water and Groundwater Interactions in Western Oregon, USA",2020,completed,"Hall, Jesse L.",,OSU,,,,"health, environment",,https://ir.library.oregonstate.edu/catalog?utf8=%E2%9C%93&locale=en&range%5Bdate_facet_yearly_ssim%5D%5Bbegin%5D=2018&range%5Bdate_facet_yearly_ssim%5D%5Bend%5D=2021&search_field=all_fields&q=oregon+water&range%5Bdate_facet_yearly_ssim%5D%5Bbegin%5D=2019&range%5Bdate_facet_yearly_ssim%5D%5Bend%5D=2021&commit=Limit,44.5592,-123.2829,TRUE,
6,The effects of changing climate on estuarine water levels,The effects of changing climate on estuarine water levels: a United States Pacific Northwest case study ,2019,completed,"Parker, Kai","Hill, D., Garc´è_a-Medina, G., and Beamer, J",OSU,,,,environment,,https://ir.library.oregonstate.edu/concern/articles/6m311w14s?locale=en,45.5026,-123.9102,TRUE,
7,Reconciling Working Landscapes on State and Federal Lands with Endangered Species Act Requirements,Reconciling Working Landscapes on State and Federal Lands with Endangered Species Act Requirements: Emerging Governance Surrounding Beaver-Related Watershed Restoration in Oregon ,2019,completed,"Pike-Urlacher, Zach R. ",,OSU,,,,environment,,https://ir.library.oregonstate.edu/concern/graduate_thesis_or_dissertations/gm80j185t?locale=en,45.7048,-123.4985,TRUE,
8,"Measurement of Gas Exchange, Stream Metabolism, and Carbon Fluxes of Headwater Streams","Measurement of Gas Exchange, Stream Metabolism, and Carbon Fluxes of Headwater Streams",2019,completed,"Pennington, Robert",,OSU,,,,environment,,https://ir.library.oregonstate.edu/concern/graduate_thesis_or_dissertations/kh04dw66q?locale=en,43.8736,-122.7633,TRUE,
9,"Spatial and Temporal Variability of Heavy Metals (Lead, Copper, and Zinc) in Stormwater, Moss, and Street Dust in Portland, OR","Spatial and Temporal Variability of Heavy Metals (Lead, Copper, and Zinc) in Stormwater, Moss, and Street Dust in Portland, OR",2019,completed,"Bauer, Sophia O. A.",,OSU,,,,"health, safety, environment",,https://ir.library.oregonstate.edu/concern/graduate_thesis_or_dissertations/sj139801w?locale=en,45.46,-122.616,TRUE,
10,Understanding Institutional Barriers and Opportunities to Food-Water-Energy Nexus policy implementation in Oregon,Understanding Institutional Barriers and Opportunities to Food-Water-Energy Nexus policy implementation in Oregon,2019,completed,"Lavado Alvarado, Angela Patricia",,OSU,,,,law,,https://ir.library.oregonstate.edu/concern/graduate_projects/tx31qq70s?locale=en,0,0,FALSE,
12,Ecological Effects of Reservoir Water Level Management and Implications for Juvenile Chinook Salmon,Ecological Effects of Reservoir Water Level Management and Implications for Juvenile Chinook Salmon,2019,completed,"Murphy, Christina A. ",,OSU,,,,environment,,https://ir.library.oregonstate.edu/concern/graduate_thesis_or_dissertations/m900p103q?locale=en,43.92672,-122.74532,TRUE,
13,Caution! High Water: A Historical Archaeological Investigation of the Champoeg Townsite (ORMA26) after the 1861 Flood,Caution! High Water: A Historical Archaeological Investigation of the Champoeg Townsite (ORMA26) after the 1861 Flood,2019,completed,"Hill, Cayla L.",,OSU,,,,arts,,https://ir.library.oregonstate.edu/concern/graduate_thesis_or_dissertations/8049gb614?locale=en,45.24761,-122.88244,TRUE,
14,Function of Oregon Estuaries to Juvenile Fishes,"Function of Oregon Estuaries to Juvenile Fishes, with Focus on Juvenile Rockfishes (Sebastes spp.) in Yaquina Bay, Oregon",2020,completed,"Schwartzkopf, Brittany D.",,OSU,,,,environment,,https://ir.library.oregonstate.edu/concern/graduate_thesis_or_dissertations/sb397g047?locale=en,44.62579,-124.04618,TRUE,
15,High-resolution Carbonate Dynamics of Netarts Bay,"High-resolution Carbonate Dynamics of Netarts Bay, OR from 2014 - 2019",2020,completed,"Fairchild, William M.",,OSU,,,,"environment, health",,https://ir.library.oregonstate.edu/concern/graduate_thesis_or_dissertations/s7526k378?locale=en,45.39488,-123.94174,TRUE,
16,Annual Forages Differ in Response to Partial-Season Irrigation Deficit in Both Spring Seeded and Summer Seeded Cropping Systems ,Annual Forages Differ in Response to Partial-Season Irrigation Deficit in Both Spring Seeded and Summer Seeded Cropping Systems ,2019,completed,"Fan, Qianqian",,OSU,,,,"environment, economy",,https://ir.library.oregonstate.edu/concern/graduate_thesis_or_dissertations/d791sn44x?locale=en,45.20791,-117.86543,TRUE,
18,A Trend Analysis of Nitrate in the Southern Willamette Valley Groundwater Management Area (GWMA),A Trend Analysis of Nitrate in the Southern Willamette Valley Groundwater Management Area (GWMA),2019,completed,"Piscitelli, Cody M.",,OSU,,,,health,,https://ir.library.oregonstate.edu/concern/graduate_thesis_or_dissertations/cr56n703s?locale=en,44.1956,-123.1398,TRUE,
